AIGUEPERSE,63001,1801.7
AUZELLES,63023,3109.5
BAFFIE,63027,5388.9
BANSAT,63029,2287.6
BEAUMONT,63032,564.0
BERTIGNAT,63037,4310.1
BILLOM,63040,1665.5
BULHON,63058,1305.6
CEILLOUX,63065,2942.7
CEYRAT,63070,760.1
CHABRELOCHE,63072,1842.6
CHAS,63096,1390.9
CHASSAGNE,63097,2625.2
CHATEAUGAY,63099,1009.4
CHIDRAC,63109,1558.4
CLEMENSAT,63111,1594.9
CLERLANDE,63112,1250.3
COLLANGES,63114,2045.2
CORENT,63120,1171.7
DURTOL,63141,789.5
ECHANDELYS,63142,3371.4
EFFIAT,63143,2413.5
ESPIRAT,63154,1460.0
ESTANDEUIL,63155,2317.0
GIAT,63165,4334.1
GIGNAT,63166,2055.1
GOUTTIERES,63171,3185.7
ISSOIRE,63178,1427.6
JOZERAND,63181,1434.2
JUMEAUX,63182,2544.7
LAMONTGIE,63185,2224.6
LAQUEUILLE,63189,3260.9
LUZILLAT,63201,2067.2
MANGLIEU,63205,2183.6
MANZAT,63206,1816.6
MAREUGHEOL,63209,2378.2
MENAT,63223,2885.7
MESSEIX,63225,4003.8
MIREMONT,63228,3076.4
MONTPEYROUX,63241,964.8
NEUVILLE,63252,2174.5
OLLOIX,63259,1463.6
OLMET,63260,3477.3
ORCIVAL,63264,2630.6
PARENT,63269,1177.5
PONTAUMUR,63283,2950.7
PRONDINES,63289,3461.4
RIS,63301,2724.8
ROMAGNAT,63307,731.3
ROYAT,63308,1142.1
SAILLANT,63309,6216.6
SAUVIAT,63414,2670.1
TAUVES,63426,3813.4
TEILHEDE,63427,1674.3
THIERS,63430,1650.1
VERTAIZON,63453,1059.6
VERTOLAYE,63454,4309.6
VILLOSSANGES,63460,3662.9
VIRLET,63462,4160.6
AMBERT,63003,4695.7
AUBIERE,63014,448.9
AVEZE,63024,3974.3
AYDAT,63026,1554.9
BAGNOLS,63028,4639.2
BEAULIEU,63031,2049.3
BEURIERES,63039,5227.3
BONGHEAT,63044,2159.8
BOUDES,63046,2278.9
BROUSSE,63056,2963.6
CHADELEUF,63073,1219.6
CHANONAT,63084,1114.2
CHAVAROUX,63107,1090.5
COMPAINS,63117,3475.4
COUDES,63121,901.6
COURGOUL,63122,2463.6
CULHAT,63131,1498.0
DORANGES,63137,3830.3
EGLISOLLES,63147,6001.7
ESCOUTOUX,63151,2164.8
ESTEIL,63156,2603.2
JOZE,63180,1269.1
LAPEYROUSE,63187,3400.0
MALAUZAT,63203,1227.8
MALINTRAT,63204,492.4
MARAT,63207,3887.8
MARINGUES,63210,1604.5
MAUZUN,63216,1956.3
MIREFLEURS,63227,1150.6
MONTMORIN,63239,2025.1
NOHANENT,63254,924.8
PALLADUC,63267,2177.2
PARENTIGNAT,63270,1539.6
PASLIERES,63271,1823.7
PERPEZAT,63274,3117.4
PESLIERES,63277,3272.5
RAVEL,63296,1570.8
RIOM,63300,942.6
TEILHET,63428,3226.5
THIOLIERES,63431,4488.8
TORTEBESSE,63433,3604.0
USSON,63439,2104.7
VALBELEIX,63440,3159.7
VENSAT,63446,2009.5
VISCOMTAT,63463,2390.1
YOUX,63471,3455.9
ARCONSAT,63008,2351.2
ARDES,63009,2677.2
ARLANC,63010,4782.5
AUBIAT,63013,1701.5
AUTHEZAT,63021,897.5
BERGONNE,63036,1875.8
BUSSEOL,63059,1468.2
BUSSIERES,63060,4016.0
CEBAZAT,63063,770.8
CEYRAT,63070,760.1
CHAMPETIERES,63081,4437.1
CHAMPS,63082,1726.1
COMBRONDE,63116,1267.5
COURPIERE,63125,2236.1
CROS,63129,5030.6
DAVAYAT,63135,1220.3
DOMAIZE,63136,2898.2
DORAT,63138,1653.4
DURMIGNAT,63140,3259.3
ENTRAIGUES,63149,1059.8
ENVAL,63150,1395.7
ESPINASSE,63152,3599.1
FOURNOLS,63162,3771.8
GIMEAUX,63167,1287.4
HERMENT,63175,3975.1
ISSERTEAUX,63177,2373.0
LABESSETTE,63183,5019.1
LAPS,63188,1557.7
LARODDE,63190,4842.2
LIMONS,63196,2340.5
LOUBEYRAT,63198,1553.2
LUDESSE,63199,1229.1
MAYRES,63218,4525.6
MAZOIRES,63220,3351.6
MEILHAUD,63222,1733.3
MESSEIX,63225,4003.8
MOUREUILLE,63243,3264.3
MUROL,63247,2457.1
NESCHERS,63250,1250.9
ORCET,63262,658.3
ORCINES,63263,1223.4
PESCHADOIRES,63276,1864.9
PICHERANDE,63279,3957.0
PIGNOLS,63280,1628.8
PROMPSAT,63288,1532.3
QUEUILLE,63294,2378.0
RANDAN,63295,2375.0
RENTIERES,63299,2548.5
ROMAGNAT,63307,731.3
SALLEDES,63405,2015.2
SAURIER,63409,2400.3
SAVENNES,63416,4851.1
SERMENTIZON,63418,2127.0
SEYCHALLES,63420,1477.6
SINGLES,63421,4553.6
SOLIGNAT,63422,1907.0
TALLENDE,63425,1025.2
THURET,63432,1660.4
VASSEL,63445,1315.3
VERGHEAS,63447,4258.7
VERNEUGHEOL,63450,4211.9
VERNINES,63451,2136.6
VIVEROLS,63465,5903.1
VODABLE,63466,2276.8
VOINGT,63467,3972.0
VOLVIC,63470,1527.5
APCHAT,63007,3116.1
AUGEROLLES,63016,3083.8
BOUZEL,63049,1235.8
BRENAT,63051,1839.6
CHALUS,63074,2050.4
CHAMALIERES,63075,668.1
CHAMPEIX,63080,1335.3
CHARENSAT,63094,4101.3
CHARNAT,63095,1972.4
COMBRAILLES,63115,3137.7
COURNOLS,63123,1424.2
CUNLHAT,63132,3339.8
ENNEZAT,63148,1086.2
ESPINCHAL,63153,3851.5
FERNOEL,63159,4519.2
GERZAT,63164,475.9
GRANDRIF,63173,5297.4
JOB,63179,4389.5
LEMPDES,63193,549.0
LEMPTY,63194,1525.8
LUSSAT,63200,793.8
MARSAT,63212,1184.4
MAZAYE,63219,1928.9
MENETROL,63224,727.0
MOISSAT,63229,1422.5
MONS,63232,2552.3
MONTCEL,63235,1385.3
MORIAT,63242,2166.3
MOZAC,63245,1242.3
OLBY,63257,2027.9
ORLEAT,63265,1448.5
PERRIER,63275,1655.9
PIONSAT,63281,3818.6
PONTGIBAUD,63285,2126.6
SARDON,63406,1545.7
SAUVESSANGES,63412,6253.9
SAYAT,63417,1240.2
SERVANT,63419,3021.4
SUGERES,63423,2480.1
TREZIOUX,63438,2359.7
VALCIVIERES,63441,5176.8
VICHEL,63456,2171.9
VILLENEUVE,63458,2246.3
VINZELLES,63461,1754.4
ANTOINGT,63005,2082.0
ARTONNE,63012,1756.2
AUBIAT,63013,1701.5
AUGNAT,63017,2374.4
AULNAT,63019,369.5
AURIERES,63020,1826.3
BIOLLET,63041,3770.1
BLANZAT,63042,999.1
BRIFFONS,63053,3321.4
CEYSSAT,63071,1664.6
CHAPPES,63089,864.3
CHAPTUZAT,63090,1860.3
CHASTREIX,63098,4532.4
CHATELDON,63102,2577.7
CHAURIAT,63106,1397.6
GELLES,63163,2921.4
GRANDEYROLLES,63172,1817.0
GRANDVAL,63174,3977.2
LACHAUX,63184,2910.8
LANDOGNE,63186,3386.1
LASTIC,63191,3836.5
LEZOUX,63195,1276.2
MADRIAT,63202,2234.9
MARCILLAT,63208,2104.3
MEDEYROLLES,63221,5843.2
MONTFERMY,63238,2497.8
MONTPENSIER,63240,2154.7
NEBOUZAT,63248,1842.2
NOALHAT,63253,1871.8
NOVACELLES,63256,4495.0
OLLIERGUES,63258,3513.5
ORBEIL,63261,1634.1
PARDINES,63268,1590.3
PLAUZAT,63282,894.4
POUZOL,63286,2288.4
PULVERIERES,63290,2222.0
REIGNAT,63297,1584.5
SAUVAGNAT,63410,3894.5
SAUXILLANGES,63415,2246.1
SURAT,63424,1442.8
TRALAIGUES,63436,3609.4
VERRIERES,63452,1973.7
YOUX,63471,3455.9
